                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7216,                 1.9871,                 1.0538,                0.72044,                0.66144,                 0.6913,                0.33557,                 1.5643,                 1.0941,                 1.0098,               0.070137,              0.0033181,              0.0033181
                      1,                  1.662,                 1.1938,                 1.0314,                0.79394,                0.67106,                0.72702,                0.36308,                 1.5483,                 1.0112,                 1.0222,               0.040071,              0.0065856,              0.0065856
                      2,                 1.6667,                 1.1987,                  1.037,                0.76389,                0.62879,                0.67431,                0.33571,                 1.6025,                 1.0892,                  1.062,              0.0099393,              0.0097871,              0.0097871
                      3,                 1.6787,                 1.1509,                 1.0428,                0.82397,                0.65517,                0.73144,                0.33176,                 1.6414,                 1.0779,                 1.0362,               0.009703,               0.009703,               0.009703
                      4,                 1.6465,                 1.0607,                  1.033,                0.81134,                0.64533,                0.70936,                0.35639,                 1.5973,                0.98789,                 1.0413,               0.009703,               0.009703,               0.009703
                      5,                 1.5814,                0.99563,                 1.0269,                0.81736,                0.69005,                0.77138,                0.40067,                 1.4963,                0.89237,                 1.0112,               0.009604,               0.009604,               0.009604
                      6,                 1.5738,                0.96092,                 1.0149,                0.83634,                0.69096,                0.76298,                0.39865,                 1.4876,                0.90485,                 1.0061,               0.009505,               0.009505,               0.009505
                      7,                 1.5228,                0.93052,                 1.0053,                0.85137,                0.71394,                0.79447,                0.41952,                 1.4584,                0.84199,                0.99115,               0.009406,               0.009406,               0.009406
                      8,                 1.5122,                0.90872,                0.99805,                0.85682,                0.73568,                0.81687,                0.44422,                 1.4273,                0.82534,                0.98218,               0.009307,               0.009307,               0.009307
                      9,                 1.4791,                0.86648,                0.99346,                0.86362,                0.72435,                0.81187,                0.43178,                 1.4519,                0.81217,                0.98058,               0.009208,               0.009208,               0.009208
                     10,                 1.4611,                0.85578,                0.98687,                0.84263,                0.73306,                0.80232,                0.41134,                 1.5315,                0.83191,                 1.0061,               0.009109,               0.009109,               0.009109
                     11,                  1.432,                0.82329,                0.98337,                0.85133,                0.73354,                0.80228,                0.43313,                 1.4472,                0.79854,                0.99421,                0.00901,                0.00901,                0.00901
                     12,                 1.4371,                 0.8245,                0.97698,                0.87474,                0.73629,                0.81658,                0.43616,                 1.4486,                 0.7764,                0.98518,               0.008911,               0.008911,               0.008911
                     13,                 1.4219,                0.81527,                0.97365,                0.86033,                0.75835,                0.83188,                0.45691,                 1.3732,                0.74735,                0.96478,               0.008812,               0.008812,               0.008812
                     14,                 1.4155,                 0.7972,                0.96852,                0.87078,                0.76049,                0.83577,                0.46505,                 1.3592,                0.73751,                0.96479,               0.008713,               0.008713,               0.008713
                     15,                 1.3833,                0.78435,                 0.9646,                 0.8511,                0.77032,                 0.8322,                0.45821,                 1.4182,                0.74075,                0.97931,               0.008614,               0.008614,               0.008614
                     16,                 1.3695,                  0.772,                0.96773,                 0.8626,                0.76912,                0.84733,                0.47916,                 1.3209,                0.71692,                 0.9528,               0.008515,               0.008515,               0.008515
                     17,                 1.3634,                0.75767,                0.96013,                0.87044,                0.76339,                0.83759,                0.47839,                 1.3286,                0.71431,                0.96243,               0.008416,               0.008416,               0.008416
                     18,                 1.3433,                0.74583,                0.95501,                 0.8637,                0.75896,                0.84417,                0.47647,                 1.3289,                0.73607,                0.95006,               0.008317,               0.008317,               0.008317
                     19,                 1.3391,                0.73796,                0.95205,                0.86746,                 0.7798,                0.85426,                0.49257,                 1.2989,                0.69412,                0.95556,               0.008218,               0.008218,               0.008218
                     20,                 1.3316,                0.73124,                0.95122,                0.88042,                 0.7712,                0.85089,                0.48986,                 1.2984,                0.69342,                0.95048,               0.008119,               0.008119,               0.008119
                     21,                 1.3202,                0.71854,                  0.946,                0.86809,                0.77458,                0.84742,                0.48338,                 1.3161,                0.68486,                0.94769,                0.00802,                0.00802,                0.00802
                     22,                 1.3059,                0.70681,                0.94042,                0.87972,                0.77729,                0.85607,                0.47156,                 1.3304,                0.68714,                0.95485,               0.007921,               0.007921,               0.007921
                     23,                 1.2984,                0.70849,                0.94128,                 0.8865,                0.76791,                0.84779,                0.48181,                 1.3289,                0.68315,                0.95275,               0.007822,               0.007822,               0.007822
                     24,                 1.2961,                0.71041,                0.94227,                0.85952,                0.79458,                 0.8548,                0.49459,                 1.2651,                0.66954,                0.94464,               0.007723,               0.007723,               0.007723
                     25,                 1.2952,                0.70333,                0.93709,                0.88145,                0.78806,                0.86869,                0.50261,                 1.2748,                0.65449,                0.94155,               0.007624,               0.007624,               0.007624
                     26,                 1.2764,                 0.6914,                0.93404,                0.88096,                0.79106,                0.87235,                0.51698,                 1.2324,                0.64506,                0.93158,               0.007525,               0.007525,               0.007525
                     27,                 1.2717,                0.68752,                0.93992,                0.87314,                0.79969,                0.86004,                0.49102,                 1.2947,                0.66013,                0.94224,               0.007426,               0.007426,               0.007426
