                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9491,                  2.622,                 1.0734,                0.80693,                0.21587,                0.42985,                0.17065,                 1.8398,                 2.5584,                 1.0057,               0.070303,              0.0032997,              0.0032997
                      1,                 1.9187,                  1.471,                 1.0526,                 0.5897,                0.41298,                0.43978,                 0.1768,                 2.0108,                 1.4435,                 1.0456,               0.040237,              0.0065673,              0.0065673
                      2,                 1.9566,                 1.4497,                 1.0704,                0.58727,                0.40243,                0.41958,                0.15513,                 2.1392,                 1.6511,                 1.1133,               0.010106,               0.009769,               0.009769
                      3,                 2.0171,                 1.4711,                 1.0871,                0.50823,                0.27877,                0.31166,                0.12604,                 2.1076,                 1.9373,                 1.0739,               0.009703,               0.009703,               0.009703
                      4,                 1.9453,                 1.3552,                  1.065,                0.71049,                0.51222,                0.55601,                0.23753,                  1.908,                 1.1712,                 1.0487,               0.009703,               0.009703,               0.009703
                      5,                 1.9094,                 1.2819,                 1.0618,                0.68592,                0.51108,                0.54439,                0.23819,                 1.8032,                 1.2871,                 1.0293,               0.009604,               0.009604,               0.009604
                      6,                 1.8889,                 1.2023,                 1.0525,                0.69551,                0.53252,                0.55667,                0.23579,                 1.8899,                 1.1405,                 1.0347,               0.009505,               0.009505,               0.009505
                      7,                 1.8408,                 1.1432,                 1.0337,                0.64121,                0.45175,                0.49378,                0.19494,                 2.0358,                 1.2482,                 1.0453,               0.009406,               0.009406,               0.009406
                      8,                 1.8456,                 1.1404,                 1.0359,                0.75159,                0.54396,                0.63033,                0.29407,                 1.7802,                 1.0415,                 1.0139,               0.009307,               0.009307,               0.009307
                      9,                  1.798,                 1.0917,                 1.0285,                 0.7141,                0.55039,                0.59255,                0.26207,                 1.7927,                 1.0903,                 1.0076,               0.009208,               0.009208,               0.009208
                     10,                 1.7559,                 1.0711,                 1.0155,                0.73522,                0.57541,                0.61017,                0.27431,                 1.7473,                 1.0491,                 1.0001,               0.009109,               0.009109,               0.009109
                     11,                 1.7238,                 1.0308,                 1.0094,                0.75706,                0.59252,                0.65904,                0.30267,                 1.7021,                0.96887,                0.98637,                0.00901,                0.00901,                0.00901
                     12,                 1.7406,                 1.0297,                 1.0099,                0.77923,                0.62065,                0.68078,                0.32624,                 1.6578,                0.95577,                0.97469,               0.008911,               0.008911,               0.008911
                     13,                 1.6948,                 1.0036,                 1.0005,                0.73124,                0.60257,                 0.6395,                0.29094,                  1.741,                0.98815,                0.99287,               0.008812,               0.008812,               0.008812
                     14,                 1.7137,                 1.0163,                 1.0116,                0.77003,                0.61044,                0.66436,                0.31742,                 1.6876,                0.94871,                0.98853,               0.008713,               0.008713,               0.008713
                     15,                  1.682,                0.97076,                 0.9906,                0.78714,                0.62831,                0.68484,                0.32772,                 1.6666,                0.93281,                 0.9811,               0.008614,               0.008614,               0.008614
                     16,                 1.6765,                0.97099,                0.98835,                0.76943,                 0.6488,                0.69753,                 0.3303,                 1.6081,                0.92666,                0.96729,               0.008515,               0.008515,               0.008515
                     17,                 1.6249,                0.93627,                0.98523,                0.79889,                 0.6474,                0.71049,                0.33768,                 1.6193,                0.87872,                0.97152,               0.008416,               0.008416,               0.008416
                     18,                 1.6343,                0.92949,                0.98079,                0.80482,                0.65547,                0.71114,                0.34423,                 1.6153,                0.88927,                0.96829,               0.008317,               0.008317,               0.008317
                     19,                 1.6044,                0.91323,                0.96937,                0.79136,                0.61545,                0.68698,                0.32053,                 1.6859,                0.91736,                0.97782,               0.008218,               0.008218,               0.008218
                     20,                 1.6016,                0.91096,                0.96542,                0.79022,                0.63543,                0.70098,                0.33825,                 1.6329,                0.87271,                0.96712,               0.008119,               0.008119,               0.008119
                     21,                 1.6369,                0.92569,                 0.9742,                0.78274,                0.64403,                  0.699,                0.33933,                 1.5554,                0.89033,                0.95407,                0.00802,                0.00802,                0.00802
                     22,                 1.6184,                0.91275,                  0.976,                0.80957,                 0.6594,                0.71334,                0.34736,                 1.5874,                0.85808,                0.96045,               0.007921,               0.007921,               0.007921
                     23,                 1.5745,                0.88325,                0.96952,                0.81217,                0.66976,                0.73046,                0.35771,                 1.5702,                0.85309,                0.95131,               0.007822,               0.007822,               0.007822
                     24,                 1.5768,                 0.8787,                0.95894,                0.83205,                0.65868,                0.73653,                0.36096,                 1.5549,                0.82724,                0.95318,               0.007723,               0.007723,               0.007723
                     25,                 1.5788,                0.88167,                0.96835,                0.83068,                0.64877,                0.72698,                0.36355,                 1.5702,                0.84521,                0.95301,               0.007624,               0.007624,               0.007624
                     26,                 1.5635,                0.87709,                0.96189,                0.81283,                0.63331,                0.68822,                0.34028,                 1.5937,                0.85048,                0.96383,               0.007525,               0.007525,               0.007525
                     27,                  1.569,                0.87568,                0.95643,                0.78769,                 0.6577,                0.70743,                 0.3466,                 1.5612,                0.87923,                0.93932,               0.007426,               0.007426,               0.007426
                     28,                 1.4997,                0.83015,                0.94257,                0.84917,                0.64975,                0.74075,                 0.3717,                 1.5533,                0.80136,                0.94246,               0.007327,               0.007327,               0.007327
                     29,                 1.5202,                0.83876,                0.94838,                0.80019,                0.68049,                0.74287,                0.37809,                 1.5303,                0.79707,                0.93891,               0.007228,               0.007228,               0.007228
                     30,                 1.5277,                0.83139,                0.94764,                0.83157,                0.65904,                0.73142,                0.37254,                 1.5179,                0.78618,                0.94845,               0.007129,               0.007129,               0.007129
                     31,                 1.4891,                0.81742,                0.93677,                0.82465,                0.68692,                0.74066,                0.37601,                 1.4731,                0.79866,                0.94026,                0.00703,                0.00703,                0.00703
                     32,                 1.4958,                 0.8255,                  0.938,                0.83119,                0.67221,                0.75248,                 0.3815,                 1.5198,                0.79958,                0.94206,               0.006931,               0.006931,               0.006931
                     33,                 1.4981,                0.82131,                0.94323,                0.81234,                0.66047,                0.73431,                0.37028,                 1.5119,                0.79642,                0.93773,               0.006832,               0.006832,               0.006832
                     34,                 1.4673,                 0.8005,                0.93596,                0.81158,                0.68906,                0.75359,                0.38938,                 1.4627,                0.77888,                 0.9281,               0.006733,               0.006733,               0.006733
                     35,                 1.4886,                0.81134,                0.93883,                0.80819,                0.69979,                0.75939,                0.39454,                 1.4799,                0.78286,                0.93076,               0.006634,               0.006634,               0.006634
                     36,                 1.4632,                0.79885,                0.93756,                0.85625,                0.67763,                0.76262,                0.40395,                 1.4392,                 0.7542,                0.93169,               0.006535,               0.006535,               0.006535
                     37,                 1.4619,                0.78228,                0.93133,                0.83702,                0.68406,                0.74326,                0.39571,                 1.4506,                 0.7597,                0.92892,               0.006436,               0.006436,               0.006436
                     38,                 1.4699,                0.79777,                 0.9343,                0.84219,                0.66762,                 0.7299,                0.38434,                 1.4683,                0.77184,                0.92931,               0.006337,               0.006337,               0.006337
                     39,                 1.4285,                0.77526,                0.93414,                0.82451,                0.63808,                0.71716,                0.37398,                 1.5385,                0.81272,                0.94433,               0.006238,               0.006238,               0.006238
                     40,                 1.4437,                0.78955,                0.92148,                0.84294,                0.68549,                0.75613,                0.39209,                  1.514,                 0.7596,                 0.9372,               0.006139,               0.006139,               0.006139
                     41,                  1.424,                 0.7692,                0.91741,                0.84513,                0.68262,                 0.7668,                0.38381,                 1.5441,                0.77996,                0.93421,                0.00604,                0.00604,                0.00604
                     42,                  1.421,                0.77233,                0.92213,                0.82995,                0.67682,                0.75507,                 0.4023,                 1.4809,                0.73849,                0.93125,               0.005941,               0.005941,               0.005941
                     43,                 1.4338,                0.76597,                0.92378,                 0.8436,                0.69049,                0.77062,                0.40567,                 1.4204,                0.73226,                0.92271,               0.005842,               0.005842,               0.005842
                     44,                 1.4012,                0.75072,                0.91553,                0.85023,                0.68049,                0.77075,                0.40133,                 1.4837,                0.75012,                0.92401,               0.005743,               0.005743,               0.005743
                     45,                 1.3898,                0.74991,                0.91742,                0.83651,                0.69121,                0.76251,                0.40868,                   1.43,                0.74502,                0.91794,               0.005644,               0.005644,               0.005644
                     46,                 1.4063,                0.74502,                0.91165,                0.85251,                 0.6955,                0.77516,                0.40936,                 1.4394,                0.73505,                0.92103,               0.005545,               0.005545,               0.005545
                     47,                 1.3906,                0.74161,                0.91743,                0.88304,                0.67995,                0.76786,                0.41201,                  1.423,                0.72384,                0.91765,               0.005446,               0.005446,               0.005446
                     48,                 1.3624,                 0.7341,                0.91424,                0.83632,                0.69764,                0.76984,                0.41004,                 1.4345,                0.72272,                0.91572,               0.005347,               0.005347,               0.005347
                     49,                 1.3776,                0.73586,                0.91615,                0.82892,                0.70654,                0.76699,                0.40459,                   1.43,                 0.7394,                 0.9205,               0.005248,               0.005248,               0.005248
                     50,                 1.3619,                0.73049,                0.91358,                0.84894,                  0.711,                0.78062,                0.41524,                 1.4156,                0.71123,                0.91105,               0.005149,               0.005149,               0.005149
                     51,                 1.3667,                0.72237,                0.91351,                0.84862,                 0.7198,                0.78972,                0.42881,                 1.3924,                0.70646,                0.91231,                0.00505,                0.00505,                0.00505
                     52,                 1.3641,                0.72481,                0.91235,                0.86692,                 0.7005,                0.77729,                0.42265,                 1.3934,                0.69681,                0.91619,               0.004951,               0.004951,               0.004951
                     53,                 1.3266,                0.70324,                0.90523,                0.86574,                0.69049,                 0.7852,                0.41061,                 1.4105,                0.71194,                0.90886,               0.004852,               0.004852,               0.004852
