                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9894,                 3.8489,                 1.4076,                 0.9423,                0.15214,                0.35186,                0.15886,                 1.7117,                    3.2,                 1.2171,               0.070441,              0.0032843,              0.0032843
                      1,                 1.5535,                 1.7542,                 1.1944,                0.77675,                0.59627,                0.67561,                0.36932,                 1.4624,                 1.8056,                 1.0914,                0.04031,              0.0064866,              0.0064866
                      2,                 1.5444,                 1.5714,                 1.1814,                0.78721,                0.59627,                0.66665,                0.38222,                 1.4638,                 1.4513,                 1.1645,               0.010047,              0.0095569,              0.0095569
                      3,                 1.5412,                  1.487,                 1.2064,                0.84515,                0.63975,                0.68212,                 0.3788,                 1.5193,                 1.3384,                 1.1715,               0.009406,               0.009406,               0.009406
                      4,                 1.4434,                 1.3215,                 1.1721,                0.82267,                0.63665,                0.70859,                0.42524,                 1.3889,                 1.4518,                 1.1441,               0.009406,               0.009406,               0.009406
                      5,                  1.383,                 1.2071,                 1.1484,                 0.8529,                0.67702,                0.75671,                0.45432,                 1.3529,                 1.0913,                 1.1517,               0.009208,               0.009208,               0.009208
                      6,                 1.3095,                 1.0675,                 1.1094,                0.85228,                0.78571,                0.84026,                0.49631,                  1.247,                0.95994,                  1.081,                0.00901,                0.00901,                0.00901
                      7,                 1.2626,                 1.0104,                 1.0963,                0.93463,                0.76087,                0.82585,                0.52253,                  1.193,                0.97203,                 1.0623,               0.008812,               0.008812,               0.008812
                      8,                  1.185,                0.93801,                 1.0708,                0.89408,                0.75155,                0.81106,                 0.5239,                 1.2045,                0.88344,                 1.0949,               0.008614,               0.008614,               0.008614
                      9,                 1.1873,                0.90181,                 1.0785,                0.89736,                0.76027,                0.81528,                0.53303,                 1.1408,                0.80769,                 1.0586,               0.008416,               0.008416,               0.008416
                     10,                 1.1277,                0.84824,                 1.0531,                0.91431,                0.79528,                0.86971,                0.57442,                 1.0603,                0.70302,                 1.0452,               0.008218,               0.008218,               0.008218
                     11,                 1.1097,                 0.8196,                  1.061,                0.91171,                 0.8338,                0.87113,                0.57914,                 1.0712,                0.71399,                 1.0431,                0.00802,                0.00802,                0.00802
                     12,                 1.0783,                0.78158,                 1.0444,                0.92854,                0.80703,                0.87796,                0.58266,                 1.0357,                0.68551,                 1.0187,               0.007822,               0.007822,               0.007822
                     13,                 1.0745,                0.77657,                 1.0469,                0.91677,                0.80435,                0.88937,                0.61388,                0.99208,                0.66838,                0.99318,               0.007624,               0.007624,               0.007624
                     14,                 1.0293,                0.73495,                 1.0362,                 0.8868,                0.82715,                0.89248,                0.60253,                0.98492,                0.68414,                   0.99,               0.007426,               0.007426,               0.007426
                     15,                 1.0215,                0.72609,                 1.0287,                0.94125,                0.84161,                0.91109,                0.62997,                 0.9658,                0.61507,                0.98397,               0.007228,               0.007228,               0.007228
                     16,                 1.0074,                0.71501,                 1.0207,                0.95869,                0.79274,                0.88907,                0.60689,                 0.9555,                0.61424,                0.97971,                0.00703,                0.00703,                0.00703
                     17,                 1.0008,                0.70261,                 1.0005,                0.92232,                0.85093,                0.92136,                0.64911,                 0.9198,                0.62322,                0.96772,               0.006832,               0.006832,               0.006832
                     18,                 0.9648,                0.67516,                0.98566,                0.95194,                0.86116,                 0.9184,                0.64325,                0.92695,                0.57639,                  0.969,               0.006634,               0.006634,               0.006634
                     19,                0.95921,                0.66905,                0.99931,                0.93885,                0.85833,                0.92831,                0.63749,                 1.0009,                0.60372,                0.99796,               0.006436,               0.006436,               0.006436
                     20,                0.95131,                0.64442,                0.97703,                 0.9411,                0.81366,                0.90452,                0.61956,                 1.1114,                0.68888,                 1.0316,               0.006238,               0.006238,               0.006238
                     21,                0.94768,                0.66387,                0.98045,                0.95638,                 0.8323,                0.89354,                0.61765,                0.91051,                0.85487,                0.94708,                0.00604,                0.00604,                0.00604
                     22,                0.93985,                0.64304,                0.97613,                0.90709,                0.82298,                0.90022,                0.64777,                  0.939,                 0.6138,                0.97156,               0.005842,               0.005842,               0.005842
                     23,                0.93214,                0.64044,                0.97917,                0.97641,                0.85093,                0.93896,                 0.6871,                 0.8789,                0.52739,                0.96187,               0.005644,               0.005644,               0.005644
                     24,                0.88597,                0.62312,                0.96901,                0.97165,                0.85137,                0.91975,                0.67937,                0.82591,                0.52909,                0.92073,               0.005446,               0.005446,               0.005446
                     25,                0.85961,                0.60091,                0.94405,                0.96427,                 0.8913,                0.94214,                0.66387,                 0.8925,                0.54523,                0.94404,               0.005248,               0.005248,               0.005248
                     26,                0.88884,                0.62969,                0.97642,                0.97742,                0.87267,                0.93096,                0.67017,                0.88048,                0.59143,                 0.9372,                0.00505,                0.00505,                0.00505
                     27,                0.85768,                0.60033,                0.95668,                0.95295,                0.88066,                0.94132,                0.68869,                0.81233,                0.51332,                0.91854,               0.004852,               0.004852,               0.004852
                     28,                0.82905,                0.56969,                 0.9523,                0.93955,                0.86879,                0.92751,                0.67561,                0.77807,                0.48594,                0.91282,               0.004654,               0.004654,               0.004654
                     29,                0.82792,                0.57342,                0.94992,                0.95837,                 0.8579,                0.93615,                0.69501,                0.79762,                0.50326,                0.91388,               0.004456,               0.004456,               0.004456
                     30,                0.81221,                0.55144,                0.93362,                0.93543,                0.85479,                0.93326,                0.66857,                0.85776,                0.51975,                0.93049,               0.004258,               0.004258,               0.004258
                     31,                0.79232,                0.55799,                0.92782,                0.95394,                0.87578,                0.94295,                0.71652,                 0.8031,                0.48847,                0.91109,                0.00406,                0.00406,                0.00406
                     32,                0.79177,                0.56862,                0.92694,                0.97515,                0.88199,                0.94501,                0.71073,                0.74705,                0.46864,                0.89514,               0.003862,               0.003862,               0.003862
                     33,                 0.7847,                0.55673,                0.93168,                0.96408,                0.91695,                0.95471,                0.72754,                0.71785,                0.44834,                0.89486,               0.003664,               0.003664,               0.003664
