                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6929,                 5.8348,                 1.1502,                0.49218,                0.05469,                0.06177,                0.03628,                 1.5118,                 2.8404,                 1.1118,               0.070186,              0.0033126,              0.0033126
                      1,                 1.5886,                 3.4781,                 1.1352,                0.53005,                0.20723,                0.14916,                0.08605,                  1.502,                 2.3388,                 1.1647,               0.039967,              0.0064266,              0.0064266
                      2,                 1.5658,                 3.0553,                 1.1295,                0.49186,                0.29422,                0.23017,                0.13245,                 1.5245,                 2.5027,                 1.1613,              0.0095277,              0.0093207,              0.0093207
                      3,                 1.5867,                  2.704,                 1.1398,                0.57319,                0.22472,                0.24511,                 0.1386,                 1.5337,                 2.2418,                 1.1555,                0.00901,                0.00901,                0.00901
                      4,                 1.5435,                 2.3243,                  1.122,                 0.5302,                0.34432,                 0.3228,                0.19908,                 1.5041,                 1.7662,                  1.127,                0.00901,                0.00901,                0.00901
                      5,                 1.4893,                  2.053,                 1.1101,                 0.4257,                0.32884,                0.31067,                0.18562,                 1.5071,                  1.779,                 1.1303,                0.00868,                0.00868,                0.00868
                      6,                 1.4598,                  1.878,                 1.1044,                0.56938,                0.33844,                0.35144,                0.21578,                 1.4719,                 1.5627,                 1.1126,                0.00835,                0.00835,                0.00835
                      7,                 1.4276,                 1.7019,                 1.0877,                0.62152,                0.40425,                0.41324,                0.26866,                  1.378,                 1.4724,                 1.0855,                0.00802,                0.00802,                0.00802
                      8,                 1.4176,                 1.5918,                 1.0788,                0.64988,                0.35326,                0.39995,                0.24812,                 1.5336,                 1.5656,                 1.1566,                0.00769,                0.00769,                0.00769
                      9,                 1.3929,                 1.5345,                 1.0552,                0.62957,                0.43001,                0.45721,                0.29687,                   1.34,                  1.386,                 1.0549,                0.00736,                0.00736,                0.00736
                     10,                 1.3724,                 1.4352,                 1.0512,                0.66846,                0.37933,                0.46459,                0.30465,                 1.3706,                 1.4107,                 1.0745,                0.00703,                0.00703,                0.00703
                     11,                 1.3323,                 1.3623,                 1.0486,                0.65915,                0.41531,                  0.464,                0.30568,                  1.365,                 1.3434,                 1.0748,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.3343,                 1.3262,                 1.0394,                0.71462,                0.40371,                0.46768,                 0.3103,                 1.3365,                 1.3156,                  1.058,                0.00637,                0.00637,                0.00637
                     13,                 1.3226,                 1.2896,                 1.0345,                0.66304,                0.47918,                0.50399,                0.34694,                 1.3143,                 1.2602,                 1.0553,                0.00604,                0.00604,                0.00604
                     14,                 1.3121,                 1.2596,                 1.0283,                0.66581,                0.53878,                0.55562,                0.37094,                 1.3202,                 1.2138,                 1.0504,                0.00571,                0.00571,                0.00571
                     15,                 1.2946,                 1.2022,                 1.0183,                0.70127,                0.48583,                0.53379,                0.34836,                  1.303,                 1.2161,                 1.0452,                0.00538,                0.00538,                0.00538
                     16,                 1.2568,                 1.1551,                 1.0128,                0.73088,                0.49824,                0.57219,                0.39198,                 1.2893,                 1.1536,                 1.0329,                0.00505,                0.00505,                0.00505
                     17,                 1.2576,                 1.1168,                  1.007,                0.64362,                0.51321,                0.56627,                0.38769,                 1.2745,                 1.1384,                 1.0356,                0.00472,                0.00472,                0.00472
                     18,                 1.2514,                 1.1046,                   1.01,                 0.7263,                0.51038,                0.57652,                0.39894,                 1.2602,                 1.1304,                 1.0248,                0.00439,                0.00439,                0.00439
                     19,                 1.2277,                 1.0656,                0.99808,                0.79857,                0.51297,                0.61609,                0.43494,                 1.2514,                 1.1098,                 1.0252,                0.00406,                0.00406,                0.00406
                     20,                 1.2658,                 1.1299,                 1.0192,                0.73711,                0.52933,                0.59143,                0.40948,                 1.2768,                  1.142,                 1.0344,                0.00373,                0.00373,                0.00373
                     21,                 1.2512,                  1.088,                 1.0143,                0.76052,                0.48013,                0.56905,                0.39639,                 1.3057,                 1.1446,                 1.0511,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.2438,                 1.0574,                 1.0116,                 0.7502,                0.51816,                0.58928,                0.39597,                 1.2995,                 1.1258,                 1.0419,                0.00307,                0.00307,                0.00307
                     23,                 1.2295,                 1.0316,                0.99885,                0.68844,                0.56507,                 0.5796,                0.40127,                 1.2784,                 1.1163,                 1.0308,                0.00274,                0.00274,                0.00274
                     24,                 1.2109,                 1.0075,                  1.001,                0.79407,                0.52695,                0.59143,                0.41117,                 1.2504,                 1.0625,                 1.0251,                0.00241,                0.00241,                0.00241
                     25,                 1.1864,                0.96842,                0.98752,                 0.7834,                0.49016,                0.59415,                0.41578,                 1.2492,                 1.0669,                 1.0185,                0.00208,                0.00208,                0.00208
                     26,                 1.1766,                 0.9399,                0.98297,                0.67459,                 0.5913,                0.60698,                 0.4296,                 1.2446,                 1.0472,                 1.0183,                0.00175,                0.00175,                0.00175
                     27,                 1.1683,                0.91735,                  0.982,                0.72685,                0.60218,                0.62857,                0.45169,                 1.2248,                 1.0092,                 1.0123,                0.00142,                0.00142,                0.00142
                     28,                 1.1419,                0.88856,                0.97262,                0.69283,                  0.629,                0.62483,                0.45176,                 1.2073,                0.99748,                 1.0091,                0.00109,                0.00109,                0.00109
                     29,                 1.1297,                0.86182,                0.96463,                0.72137,                0.58965,                0.63442,                0.45765,                 1.1992,                 0.9933,                  1.005,                0.00076,                0.00076,                0.00076
