                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7368,                 1.4294,                 1.3992,                0.96332,                    0.8,                0.88007,                0.63009,                 1.0488,                0.71689,                0.96843,               0.070099,              0.0033224,              0.0033224
                      1,                 1.0833,                0.74598,                 1.0353,                0.96911,                0.86439,                0.91934,                0.70393,                0.88127,                0.58223,                0.90494,               0.039967,              0.0065239,              0.0065239
                      2,                0.99332,                0.68375,                0.99755,                0.97962,                0.87411,                 0.9246,                0.70027,                0.89557,                0.60259,                0.91205,              0.0097031,              0.0095935,              0.0095935
                      3,                0.94491,                0.65416,                0.98695,                0.97391,                0.84332,                 0.8937,                0.70562,                0.84284,                 0.6801,                0.91581,               0.009406,               0.009406,               0.009406
                      4,                0.88252,                0.60415,                0.96458,                0.97711,                0.89366,                0.93482,                0.74307,                0.78075,                0.53017,                0.89166,               0.009406,               0.009406,               0.009406
                      5,                  0.841,                0.57387,                0.95206,                0.98911,                0.90085,                0.93425,                0.75989,                 0.7409,                0.50807,                0.87384,               0.009208,               0.009208,               0.009208
                      6,                0.81481,                0.55195,                0.94082,                0.98315,                0.90468,                0.94477,                0.78169,                0.67838,                0.49514,                 0.8539,                0.00901,                0.00901,                0.00901
                      7,                0.77835,                0.53405,                 0.9312,                0.97967,                0.90909,                0.94955,                0.78467,                0.67437,                0.50709,                0.84794,               0.008812,               0.008812,               0.008812
                      8,                0.75492,                0.51247,                0.92141,                0.99281,                0.92727,                0.95898,                0.79846,                0.65494,                 0.4426,                0.84018,               0.008614,               0.008614,               0.008614
                      9,                0.74178,                0.50578,                0.91691,                0.98829,                 0.9124,                0.95909,                0.79606,                0.64709,                0.43477,                 0.8445,               0.008416,               0.008416,               0.008416
                     10,                0.71851,                0.48813,                0.90819,                0.98311,                0.93027,                0.96499,                 0.8219,                0.59143,                0.42053,                0.83544,               0.008218,               0.008218,               0.008218
                     11,                0.70052,                0.47593,                0.90255,                0.99448,                0.92672,                0.96759,                0.80965,                0.64643,                0.40671,                0.84036,                0.00802,                0.00802,                0.00802
                     12,                0.68954,                0.46634,                0.90143,                0.99334,                0.92066,                0.96463,                0.81607,                0.60881,                0.39511,                0.83015,               0.007822,               0.007822,               0.007822
                     13,                0.67393,                0.45337,                 0.8964,                0.99566,                0.93388,                0.97201,                0.82994,                0.56116,                0.36342,                0.81594,               0.007624,               0.007624,               0.007624
                     14,                0.66399,                0.44807,                0.89477,                0.99555,                0.93168,                0.97329,                0.84087,                0.54863,                0.36908,                0.81481,               0.007426,               0.007426,               0.007426
                     15,                 0.6457,                0.43576,                0.88632,                0.98575,                0.93609,                0.97046,                 0.8364,                0.55501,                 0.4067,                 0.8216,               0.007228,               0.007228,               0.007228
                     16,                 0.6364,                0.43161,                0.88542,                  0.993,                0.94215,                0.97685,                 0.8438,                0.55313,                0.35205,                0.81408,                0.00703,                0.00703,                0.00703
                     17,                0.62559,                0.42535,                   0.88,                0.99299,                0.93774,                0.97426,                0.84499,                0.54129,                0.35681,                0.82081,               0.006832,               0.006832,               0.006832
                     18,                0.62203,                0.41742,                0.88206,                  0.993,                 0.9381,                0.97867,                0.84971,                0.52413,                0.33942,                 0.8111,               0.006634,               0.006634,               0.006634
                     19,                0.61338,                0.41265,                0.87512,                0.99308,                0.94931,                0.97821,                0.84835,                0.53291,                0.33369,                 0.8115,               0.006436,               0.006436,               0.006436
                     20,                0.59834,                0.40453,                 0.8749,                0.99197,                0.95258,                0.97756,                0.84895,                0.53254,                0.33143,                0.80494,               0.006238,               0.006238,               0.006238
                     21,                0.59652,                0.40527,                0.87645,                 0.9908,                0.94934,                0.98044,                0.85975,                0.51346,                0.32979,                0.80352,                0.00604,                0.00604,                0.00604
                     22,                0.58627,                0.39543,                0.87247,                0.99015,                0.94435,                0.97897,                0.85342,                0.51586,                0.32693,                0.80452,               0.005842,               0.005842,               0.005842
                     23,                0.58559,                0.39385,                0.86943,                0.99483,                0.95358,                0.98222,                0.86281,                0.50475,                 0.3144,                0.80102,               0.005644,               0.005644,               0.005644
                     24,                 0.5678,                0.38376,                0.86296,                0.98854,                0.95019,                0.97755,                0.87152,                0.47818,                0.30775,                0.79418,               0.005446,               0.005446,               0.005446
                     25,                0.56172,                0.38031,                0.86122,                0.99635,                0.94656,                0.98079,                0.86149,                0.49424,                0.31116,                0.79314,               0.005248,               0.005248,               0.005248
                     26,                0.56178,                0.37488,                0.86177,                0.99031,                0.95687,                0.98346,                0.87056,                 0.4827,                 0.3086,                0.79631,                0.00505,                0.00505,                0.00505
                     27,                0.55094,                0.37296,                0.85752,                0.99329,                0.95317,                0.98421,                0.88168,                0.46909,                0.30049,                0.79275,               0.004852,               0.004852,               0.004852
                     28,                 0.5417,                0.36433,                0.85576,                0.99427,                0.95526,                0.98403,                0.87481,                0.46482,                0.29329,                0.79091,               0.004654,               0.004654,               0.004654
                     29,                0.53832,                0.36575,                0.85521,                 0.9959,                0.95262,                0.98356,                0.87707,                0.45106,                0.28574,                0.78397,               0.004456,               0.004456,               0.004456
                     30,                0.52354,                 0.3543,                0.84992,                0.99369,                0.95511,                0.98389,                0.87431,                0.46998,                0.28795,                0.78869,               0.004258,               0.004258,               0.004258
                     31,                0.51957,                0.35275,                0.85492,                0.99592,                0.95537,                0.98681,                0.87948,                0.45639,                0.28277,                0.78474,                0.00406,                0.00406,                0.00406
                     32,                0.51724,                0.35153,                0.85153,                0.99427,                0.95262,                0.98576,                 0.8814,                 0.4521,                0.27905,                0.78732,               0.003862,               0.003862,               0.003862
                     33,                 0.5094,                0.34469,                0.85036,                0.99227,                0.95537,                0.98363,                0.88661,                0.44668,                0.27504,                0.78403,               0.003664,               0.003664,               0.003664
                     34,                0.50183,                0.33984,                0.84525,                0.99315,                0.95883,                0.98698,                 0.8837,                0.45324,                0.28095,                 0.7798,               0.003466,               0.003466,               0.003466
                     35,                0.49696,                0.33505,                0.84439,                0.99487,                0.95923,                 0.9873,                0.88791,                0.44405,                0.26498,                 0.7781,               0.003268,               0.003268,               0.003268
                     36,                0.48965,                0.33331,                 0.8452,                 0.9943,                0.96123,                0.98709,                0.89305,                 0.4338,                0.25866,                0.77969,                0.00307,                0.00307,                0.00307
                     37,                0.47821,                0.32419,                0.84004,                0.99106,                0.95868,                0.98588,                0.89446,                   0.43,                0.26044,                0.77969,               0.002872,               0.002872,               0.002872
                     38,                0.47353,                0.32286,                0.84107,                0.99541,                0.95517,                0.98558,                0.89255,                0.42778,                0.26594,                0.77946,               0.002674,               0.002674,               0.002674
                     39,                0.47112,                  0.317,                0.83927,                0.99656,                0.95697,                0.98474,                 0.8982,                0.41331,                0.25293,                0.77759,               0.002476,               0.002476,               0.002476
                     40,                  0.435,                0.28969,                0.81987,                0.99598,                0.95531,                0.98659,                0.91408,                0.36727,                0.25017,                0.77451,               0.002278,               0.002278,               0.002278
                     41,                0.42022,                0.28305,                0.81899,                0.99371,                0.95785,                0.98723,                0.91755,                0.35334,                0.24246,                0.77131,                0.00208,                0.00208,                0.00208
                     42,                0.41457,                0.27984,                0.81681,                0.99541,                0.95542,                0.98707,                0.91888,                0.35264,                0.23484,                0.76815,               0.001882,               0.001882,               0.001882
                     43,                0.40863,                0.27378,                 0.8153,                0.99651,                0.95758,                0.98697,                 0.9223,                0.34654,                0.23744,                0.77215,               0.001684,               0.001684,               0.001684
                     44,                0.40441,                0.27028,                0.81615,                0.99803,                0.95702,                 0.9871,                0.92305,                0.34028,                0.23556,                0.76883,               0.001486,               0.001486,               0.001486
                     45,                0.39417,                0.26437,                0.81277,                0.99599,                0.95731,                0.98756,                0.92505,                0.33355,                0.22974,                0.76656,               0.001288,               0.001288,               0.001288
                     46,                0.38953,                0.26383,                 0.8124,                0.99698,                0.96088,                 0.9876,                0.92439,                0.33068,                 0.2278,                0.76554,                0.00109,                0.00109,                0.00109
                     47,                0.37893,                0.25745,                 0.8103,                0.99435,                0.95868,                0.98719,                0.92782,                0.32715,                0.22049,                0.76459,               0.000892,               0.000892,               0.000892
                     48,                 0.3725,                0.24822,                 0.8071,                0.99674,                0.95813,                0.98748,                0.92899,                0.32108,                0.21618,                0.76335,               0.000694,               0.000694,               0.000694
                     49,                0.36624,                0.24653,                0.80437,                0.99853,                0.96088,                0.98815,                0.93005,                0.32015,                0.21333,                0.76191,               0.000496,               0.000496,               0.000496
