                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   2.34,                 1.7596,                 1.7338,                0.79445,                0.56413,                0.66225,                0.34805,                 1.8528,                 1.1967,                 1.3699,               0.070441,              0.0032843,              0.0032843
                      1,                  1.549,                0.97866,                 1.2098,                0.90736,                0.69963,                0.80664,                0.49542,                 1.3172,                0.78864,                 1.1252,               0.040223,              0.0063993,              0.0063993
                      2,                 1.3562,                0.86106,                 1.1177,                0.94425,                0.70186,                 0.8181,                0.52236,                 1.2452,                0.82372,                 1.0815,              0.0097844,              0.0092942,              0.0092942
                      3,                 1.2658,                0.81338,                 1.0911,                 0.8617,                0.80435,                0.84054,                0.50642,                 1.2409,                0.83196,                 1.0789,                0.00901,                0.00901,                0.00901
                      4,                 1.1692,                0.77322,                 1.0667,                0.90581,                0.77653,                0.87367,                0.56818,                 1.1685,                0.74466,                 1.0624,                0.00901,                0.00901,                0.00901
                      5,                  1.116,                0.73651,                 1.0366,                0.92952,                0.81919,                0.89333,                0.60265,                 1.0641,                0.67986,                 1.0434,                0.00868,                0.00868,                0.00868
                      6,                 1.0676,                0.69843,                 1.0155,                0.93749,                0.83851,                0.91877,                0.60141,                 1.0461,                0.66172,                 1.0002,                0.00835,                0.00835,                0.00835
                      7,                 1.0405,                0.68734,                 1.0023,                0.91953,                0.82298,                0.90505,                0.60816,                 1.0851,                0.66533,                 1.0128,                0.00802,                0.00802,                0.00802
                      8,                 1.0141,                0.67524,                0.99196,                0.88198,                0.83549,                0.90662,                0.62874,                  1.027,                0.68357,                 0.9996,                0.00769,                0.00769,                0.00769
                      9,                   1.01,                0.66844,                0.99838,                0.92357,                0.82561,                0.91011,                0.63336,                 1.0241,                0.66172,                0.97652,                0.00736,                0.00736,                0.00736
                     10,                0.96154,                0.63213,                0.97734,                 0.9258,                0.85243,                0.92963,                0.63795,                  1.026,                0.59738,                 0.9894,                0.00703,                0.00703,                0.00703
                     11,                0.95331,                   0.62,                0.98531,                 0.9099,                0.87812,                 0.9328,                0.66157,                0.92946,                0.57041,                0.95152,                 0.0067,                 0.0067,                 0.0067
                     12,                0.91244,                0.60689,                  0.962,                0.93109,                 0.8812,                0.94203,                0.66652,                0.91019,                0.55517,                0.93926,                0.00637,                0.00637,                0.00637
                     13,                0.90616,                0.60513,                0.97507,                0.96574,                 0.8913,                0.94168,                0.65607,                0.93548,                0.51947,                0.94018,                0.00604,                0.00604,                0.00604
                     14,                 0.8867,                0.57409,                0.96489,                0.96058,                0.86025,                0.92961,                 0.6545,                0.88608,                0.52168,                0.92564,                0.00571,                0.00571,                0.00571
                     15,                  0.867,                  0.569,                0.95767,                0.97006,                0.87888,                0.94666,                0.69416,                0.91879,                0.51648,                0.92829,                0.00538,                0.00538,                0.00538
                     16,                0.83867,                0.55539,                0.94524,                0.95591,                0.87539,                 0.9438,                0.69158,                0.84027,                0.50307,                0.92386,                0.00505,                0.00505,                0.00505
                     17,                0.84137,                0.54404,                0.94084,                0.94923,                0.88199,                0.94623,                0.69245,                0.83149,                0.49935,                0.91012,                0.00472,                0.00472,                0.00472
                     18,                0.81192,                0.54284,                0.92896,                0.97558,                0.87888,                0.95386,                0.72549,                0.79341,                0.46373,                0.90739,                0.00439,                0.00439,                0.00439
                     19,                0.81877,                0.53805,                0.93842,                0.95118,                 0.9076,                0.95381,                0.71414,                0.79598,                0.47886,                0.91746,                0.00406,                0.00406,                0.00406
                     20,                0.74644,                0.47383,                0.90927,                0.95687,                0.90373,                0.94044,                0.72426,                0.74997,                0.47801,                0.90305,                0.00373,                0.00373,                0.00373
                     21,                 0.7436,                0.47654,                0.89913,                0.97651,                0.90377,                0.94352,                 0.7274,                0.73985,                0.45796,                0.89263,                 0.0034,                 0.0034,                 0.0034
                     22,                0.71873,                0.46194,                0.89126,                0.97107,                0.90683,                0.95151,                0.74414,                0.70802,                0.44334,                0.88663,                0.00307,                0.00307,                0.00307
                     23,                0.68199,                0.45136,                0.89034,                0.96296,                0.88804,                0.94279,                0.74357,                0.70124,                0.44576,                0.88502,                0.00274,                0.00274,                0.00274
                     24,                0.67345,                 0.4455,                0.89531,                 0.9733,                0.90571,                0.95131,                0.74618,                0.72298,                0.43676,                0.88868,                0.00241,                0.00241,                0.00241
                     25,                0.66844,                0.43529,                0.88425,                0.97622,                0.89247,                0.94772,                 0.7557,                0.67321,                 0.4254,                0.87409,                0.00208,                0.00208,                0.00208
                     26,                0.65691,                0.43214,                0.87593,                0.98654,                0.91034,                 0.9599,                0.77565,                0.64129,                0.39533,                0.86629,                0.00175,                0.00175,                0.00175
                     27,                0.62896,                0.41699,                 0.8704,                0.98333,                0.91615,                0.95961,                0.77862,                0.63814,                0.40006,                0.86357,                0.00142,                0.00142,                0.00142
                     28,                0.60109,                0.41421,                 0.8591,                0.98963,                0.84161,                0.88345,                0.72673,                0.60013,                0.37741,                0.85688,                0.00109,                0.00109,                0.00109
                     29,                0.58639,                0.39066,                0.85995,                0.98088,                0.91615,                0.95996,                0.78812,                0.60943,                0.37967,                0.85422,                0.00076,                0.00076,                0.00076
